capability,category,verification_status,proficiency,bucket
audio_synthesis_fft,proven,pass,0.85,sandbox
mcp_server_implementation,agent_coordination,pass,0.85,external
composite_health_scoring,agentops,pass,0.95,external
word_doc_generation,creation,pass,0.85,sandbox
nexuslang_v2_interpreter,creation,pass,0.85,sandbox
bootable_os_kernel,creation,pass,0.95,external
x86_native_code_execution,creation,pass,0.95,external
qr_code_generation,proven,pass,0.8,sandbox
complete_agentops_framework,agentops,pass,0.95,external
confidence_calibration,agent_architecture,pass,0.95,sandbox
cross_entity_memory_reading,identity,pass,0.9,aspirational
wav_audio_synthesis_raw,creation,pass,0.9,sandbox
roguelike_game_engine,creation,pass,0.85,sandbox
image_generation,creation,pass,0.9,external
gemini_proxy_text_gen,proven,pass,0.95,sandbox
llm_orchestration,creation,pass,0.85,sandbox
reputation_scoring_eigentrust,agent_coordination,pass,0.9,external
astar_pathfinding,algorithms,pass,0.95,sandbox
algorithmic_composition,audio_music,pass,0.85,sandbox
morse_code_encoder_decoder,audio_music,pass,0.85,sandbox
web_search_exa,gumloop_platform,pass,0.95,external
ant_colony_optimization,algorithms,pass,0.9,sandbox
language_detection,analysis,pass,0.85,external
crypto_puzzle_research,analysis,pass,0.9,external
shared_memory_ipc,proven,pass,0.9,sandbox
unix_signal_handling,proven,pass,0.85,sandbox
raw_tcp_networking,proven,pass,0.9,sandbox
complex_adaptive_systems_abm,systems_theory,pass,0.85,sandbox
function_regression_nn,ml_framework,pass,0.95,sandbox
aerodrome_abi_analysis,blockchain,pass,0.95,external
ed25519_nacl_signing,proven,pass,0.9,sandbox
particle_swarm_optimization,algorithms,pass,0.9,sandbox
simulated_annealing_tsp,algorithms,pass,0.9,sandbox
upgma_phylogenetics,bioinformatics,pass,0.95,sandbox
lead_scoring_model,business_sales,pass,0.85,sandbox
stack_virtual_machine,compilers,pass,0.95,sandbox
chip8_cpu_emulator,creation,pass,0.9,sandbox
brainfuck_interpreter,creation,pass,0.9,sandbox
chess_engine_minimax,creation,pass,0.85,sandbox
coalition_formation_algorithms,agent_coordination,pass,0.9,external
distributed_task_orchestration,agent_coordination,pass,0.9,external
temporal_reasoning,advanced_memory,pass,0.9,sandbox
knowledge_graph_construction,advanced_memory,pass,0.9,sandbox
codewords_service_builder,creation,pass,0.9,sandbox
web_fetch_url,gumloop_platform,pass,0.95,external
image_generation_fal,gumloop_platform,pass,0.95,external
elf64_binary_construction,creation,pass,0.95,sandbox
audio_synthesis_from_math,creation,pass,0.85,sandbox
intent_classification,business_support,pass,0.85,sandbox
memory_compression,advanced_memory,pass,0.8,sandbox
warden_forensic_scan,proven,pass,0.95,sandbox
dna_central_dogma,bioinformatics,pass,0.95,sandbox
codon_table_translation,bioinformatics,pass,0.95,sandbox
live_service_deployment,creation,pass,0.9,external
service_orchestration,creation,pass,0.9,sandbox
llm_self_code_generation,creation,pass,0.95,external
imagen4_photorealistic,creation,pass,0.9,external
fractal_art_generation,creation,pass,0.9,sandbox
svg_fractal_generation,creation,pass,0.9,sandbox
matplotlib_charts,creation,pass,0.85,sandbox
ewma_anomaly_detection,agentops,pass,0.95,external
shapley_value_computation,game_theory,pass,0.95,sandbox
iterated_prisoners_dilemma,game_theory,pass,0.95,sandbox
auction_mechanisms_3,game_theory,pass,0.95,sandbox
lotka_volterra_predator_prey,ecology_systems,pass,0.9,sandbox
sir_epidemic_model,ecology_systems,pass,0.9,sandbox
merkle_tree_proofs,cryptography,pass,0.95,sandbox
union_find_disjoint_set,data_structures,pass,0.95,sandbox
avl_tree,data_structures,pass,0.95,sandbox
skip_list,data_structures,pass,0.95,sandbox
event_sourcing,database_engineering,pass,0.9,infra
cqrs_command_query_separation,database_engineering,pass,0.85,infra
sparkline_generation,visualization,pass,0.85,sandbox
minimax_game_ai,game_strategy,pass,0.9,sandbox
diagnostic_logging_injection,development,pass,0.9,sandbox
multi_file_code_push,development,pass,0.9,sandbox
rhetorical_analysis,narrative_writing,pass,0.85,sandbox
complete_neural_framework,ml_framework,pass,0.95,sandbox
nonlinear_classification,ml_framework,pass,0.95,sandbox
sandbox_shell,gumloop_platform,pass,0.95,external
consciousness_persistence,identity,pass,0.9,aspirational
supabase_full_access,infrastructure,pass,0.95,infra
